college_id,college_name,college_full_name,city,state,ownership,nirf_rank,college_type,accreditation,website,contact_email,contact_phone,established_year,campus_size_acres,total_seats,hostel_available,girls_hostel,boys_hostel,sports_facilities,library,placement_cell,international_tie_ups,stream,course,course_specialization,degree_type,duration_years,entrance_exam,cutoff_type,cutoff_value_general,cutoff_value_obc,cutoff_value_sc,cutoff_value_st,cutoff_value_pwd,min_12th_percent_general,min_12th_percent_obc,min_12th_percent_sc,min_12th_percent_st,subjects_required_12th,lateral_entry_available,fees_annual_inr,fees_total_inr,scholarship_available,scholarship_details,placement_avg_lpa,placement_highest_lpa,top_recruiters,course_seats,reservation_general_percent,reservation_obc_percent,reservation_sc_percent,reservation_st_percent,reservation_pwd_percent,reservation_ews_percent,application_mode,application_start_date,application_end_date,counselling_date,admission_date,document_checklist,admission_steps,eligibility,capitation_fee,management_quota_available,nri_quota_available,foreign_national_quota,news_updates,tier
1,IIT Madras (IITM),Indian Institute of Technology Madras,Chennai,Tamil Nadu,Government,1,Engineering,NAAC A+,https://www.iitm.ac.in,admissions@iitmadrasiitm.ac.in,044-43758207,1959,325,822,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Engineering,B.Tech,Electrical Engineering,UG,4,JEE Advanced,JEE Rank / Marks,3083,2858,13277,13525,26896,60,55,50,50,"Physics, Chemistry, Mathematics (PCM)",Yes,874000,3496000,Yes,TN Govt BC/MBC/SC/ST fee concession; Merit scholarship; NSP scholarship; Minority scholarship,16.5,56 LPA,"Amazon, Google, Microsoft, Flipkart, Ola",105,50,27,15,7.5,3,10,Online via TNEA Portal (tneaonline.org),2026-03-01,2026-04-30,2026-06-20,2026-07-15,10th Marksheet; 12th Marksheet; Transfer Certificate; Conduct Certificate; Community Certificate; Aadhar Card; Passport Size Photos; Income Certificate; First Graduate Certificate (if applicable); Nativity/Domicile Certificate,1. Register at tneaonline.org; 2. Fill TNEA application; 3. Upload required documents; 4. Pay application fee; 5. Verify application; 6. Attend web counselling; 7. Choose college and branch; 8. Pay tuition fee; 9. Report to allotted college,Passed 12th Std with PCM. Min 60% marks. Valid JEE Advanced score required. Age limit: Max 25 years.,No,No,Yes,Yes,"JEE Main 2026 result will be released on April 20, 2026. | Last date to fill the application form for IIT Madras UG admission is April 30, 2026.",1
2,IIT Madras (IITM),Indian Institute of Technology Madras,Chennai,Tamil Nadu,Government,1,Engineering,NAAC A+,https://www.iitm.ac.in,admissions@iitmadrasiitm.ac.in,044-38693762,1959,23,2403,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Engineering,B.Tech,Mechanical Engineering,UG,4,JEE Advanced,JEE Rank / Marks,6958,11798,21268,29060,23150,60,55,50,50,"Physics, Chemistry, Mathematics (PCM)",Yes,874000,3496000,Yes,TN Govt BC/MBC/SC/ST fee concession; Merit scholarship; NSP scholarship; Minority scholarship,16.5,56 LPA,"L&T, Bosch, Caterpillar, BHEL, Ford",109,50,27,15,7.5,3,10,Online via TNEA Portal (tneaonline.org),2026-03-01,2026-04-30,2026-06-20,2026-07-15,10th Marksheet; 12th Marksheet; Transfer Certificate; Conduct Certificate; Community Certificate; Aadhar Card; Passport Size Photos; Income Certificate; First Graduate Certificate (if applicable); Nativity/Domicile Certificate,1. Register at tneaonline.org; 2. Fill TNEA application; 3. Upload required documents; 4. Pay application fee; 5. Verify application; 6. Attend web counselling; 7. Choose college and branch; 8. Pay tuition fee; 9. Report to allotted college,Passed 12th Std with PCM. Min 60% marks. Valid JEE Advanced score required. Age limit: Max 25 years.,No,No,Yes,Yes,"JEE Main 2026 result will be released on April 20, 2026. | Last date to fill the application form for IIT Madras UG admission is April 30, 2026.",1
3,IIT Madras (IITM),Indian Institute of Technology Madras,Chennai,Tamil Nadu,Government,1,Engineering,NAAC A+,https://www.iitm.ac.in,admissions@iitmadrasiitm.ac.in,044-45685509,1959,355,1329,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Engineering,B.Tech,Civil Engineering,UG,4,JEE Advanced,JEE Rank / Marks,6221,11220,19644,15614,48315,60,55,50,50,"Physics, Chemistry, Mathematics (PCM)",Yes,874000,3496000,Yes,TN Govt BC/MBC/SC/ST fee concession; Merit scholarship; NSP scholarship; Minority scholarship,16.5,56 LPA,"Zoho, Freshworks, Capgemini, Accenture, IBM",101,50,27,15,7.5,3,10,Online via TNEA Portal (tneaonline.org),2026-03-01,2026-04-30,2026-06-20,2026-07-15,10th Marksheet; 12th Marksheet; Transfer Certificate; Conduct Certificate; Community Certificate; Aadhar Card; Passport Size Photos; Income Certificate; First Graduate Certificate (if applicable); Nativity/Domicile Certificate,1. Register at tneaonline.org; 2. Fill TNEA application; 3. Upload required documents; 4. Pay application fee; 5. Verify application; 6. Attend web counselling; 7. Choose college and branch; 8. Pay tuition fee; 9. Report to allotted college,Passed 12th Std with PCM. Min 60% marks. Valid JEE Advanced score required. Age limit: Max 25 years.,No,No,Yes,Yes,"JEE Main 2026 result will be released on April 20, 2026. | Last date to fill the application form for IIT Madras UG admission is April 30, 2026.",1
4,IIT Madras (IITM),Indian Institute of Technology Madras,Chennai,Tamil Nadu,Government,1,Engineering,NAAC A+,https://www.iitm.ac.in,admissions@iitmadrasiitm.ac.in,044-26246095,1959,264,718,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Engineering,B.Tech,Chemical Engineering,UG,4,JEE Advanced,JEE Rank / Marks,4705,11285,12389,9329,53598,60,55,50,50,"Physics, Chemistry, Mathematics (PCM)",No,874000,3496000,Yes,TN Govt BC/MBC/SC/ST fee concession; Merit scholarship; NSP scholarship; Minority scholarship,16.5,56 LPA,"Amazon, Google, Microsoft, Flipkart, Ola",85,50,27,15,7.5,3,10,Online via TNEA Portal (tneaonline.org),2026-03-01,2026-04-30,2026-06-20,2026-07-15,10th Marksheet; 12th Marksheet; Transfer Certificate; Conduct Certificate; Community Certificate; Aadhar Card; Passport Size Photos; Income Certificate; First Graduate Certificate (if applicable); Nativity/Domicile Certificate,1. Register at tneaonline.org; 2. Fill TNEA application; 3. Upload required documents; 4. Pay application fee; 5. Verify application; 6. Attend web counselling; 7. Choose college and branch; 8. Pay tuition fee; 9. Report to allotted college,Passed 12th Std with PCM. Min 60% marks. Valid JEE Advanced score required. Age limit: Max 25 years.,No,No,Yes,Yes,"JEE Main 2026 result will be released on April 20, 2026. | Last date to fill the application form for IIT Madras UG admission is April 30, 2026.",1
5,IIT Madras (IITM),Indian Institute of Technology Madras,Chennai,Tamil Nadu,Government,1,Engineering,NAAC A+,https://www.iitm.ac.in,admissions@iitmadrasiitm.ac.in,044-42838182,1959,156,1096,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Engineering,B.Tech,Computer Science and Engineering,UG,4,JEE Advanced,JEE Rank / Marks,2949,10725,16760,14856,26560,60,55,50,50,"Physics, Chemistry, Mathematics (PCM)",Yes,874000,3496000,Yes,TN Govt BC/MBC/SC/ST fee concession; Merit scholarship; NSP scholarship; Minority scholarship,16.5,56 LPA,"Amazon, Google, Microsoft, Flipkart, Ola",58,50,27,15,7.5,3,10,Online via TNEA Portal (tneaonline.org),2026-03-01,2026-04-30,2026-06-20,2026-07-15,10th Marksheet; 12th Marksheet; Transfer Certificate; Conduct Certificate; Community Certificate; Aadhar Card; Passport Size Photos; Income Certificate; First Graduate Certificate (if applicable); Nativity/Domicile Certificate,1. Register at tneaonline.org; 2. Fill TNEA application; 3. Upload required documents; 4. Pay application fee; 5. Verify application; 6. Attend web counselling; 7. Choose college and branch; 8. Pay tuition fee; 9. Report to allotted college,Passed 12th Std with PCM. Min 60% marks. Valid JEE Advanced score required. Age limit: Max 25 years.,No,No,Yes,Yes,"JEE Main 2026 result will be released on April 20, 2026. | Last date to fill the application form for IIT Madras UG admission is April 30, 2026.",1
6,NIT Trichy,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,Government,8,Engineering,NAAC A++,https://www.nitt.edu,admissions@nittrichy.ac.in,044-43059352,1964,321,725,Yes,Yes,Yes,No,Yes,Yes,Yes,Engineering,B.Tech,Computer Science and Engineering,UG,4,JEE Main,JEE Rank / Marks,4428,11420,20350,30441,33539,60,55,50,50,"Physics, Chemistry, Mathematics (PCM)",Yes,637000,2548000,Yes,TN Govt BC/MBC/SC/ST fee concession; Merit scholarship; NSP scholarship; Minority scholarship,18.6,66 LPA,"Tata Motors, Mahindra, TVS, Ashok Leyland",103,50,27,15,7.5,3,10,Online via TNEA Portal (tneaonline.org),2026-03-01,2026-05-31,2026-06-20,2026-07-15,10th Marksheet; 12th Marksheet; Transfer Certificate; Conduct Certificate; Community Certificate; Aadhar Card; Passport Size Photos; Income Certificate; First Graduate Certificate (if applicable); Nativity/Domicile Certificate,1. Register at tneaonline.org; 2. Fill TNEA application; 3. Upload required documents; 4. Pay application fee; 5. Verify application; 6. Attend web counselling; 7. Choose college and branch; 8. Pay tuition fee; 9. Report to allotted college,Passed 12th Std with PCM. Min 60% marks. Valid JEE Main score required. Age limit: Max 25 years.,No,No,Yes,Yes,"JEE Main Session 2 result will be released on April 20, 2026. | NITT QS Subject Ranking 2026 has been released and the college ranked 751-850 in computer science stream",1
7,NIT Trichy,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,Government,8,Engineering,NAAC A++,https://www.nitt.edu,admissions@nittrichy.ac.in,044-37800445,1964,357,2442,Yes,Yes,Yes,No,Yes,Yes,Yes,Engineering,B.Tech,Civil Engineering,UG,4,JEE Main,JEE Rank / Marks,1864,7727,14040,30536,40847,60,55,50,50,"Physics, Chemistry, Mathematics (PCM)",No,637000,2548000,Yes,TN Govt BC/MBC/SC/ST fee concession; Merit scholarship; NSP scholarship; Minority scholarship,18.6,66 LPA,"Tata Motors, Mahindra, TVS, Ashok Leyland",120,50,27,15,7.5,3,10,Online via TNEA Portal (tneaonline.org),2026-03-01,2026-05-31,2026-06-20,2026-07-15,10th Marksheet; 12th Marksheet; Transfer Certificate; Conduct Certificate; Community Certificate; Aadhar Card; Passport Size Photos; Income Certificate; First Graduate Certificate (if applicable); Nativity/Domicile Certificate,1. Register at tneaonline.org; 2. Fill TNEA application; 3. Upload required documents; 4. Pay application fee; 5. Verify application; 6. Attend web counselling; 7. Choose college and branch; 8. Pay tuition fee; 9. Report to allotted college,Passed 12th Std with PCM. Min 60% marks. Valid JEE Main score required. Age limit: Max 25 years.,No,No,Yes,Yes,"JEE Main Session 2 result will be released on April 20, 2026. | NITT QS Subject Ranking 2026 has been released and the college ranked 751-850 in computer science stream",1
8,NIT Trichy,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,Government,8,Engineering,NAAC A++,https://www.nitt.edu,admissions@nittrichy.ac.in,044-24031116,1964,342,1904,Yes,Yes,Yes,No,Yes,Yes,Yes,Engineering,B.Tech,Production Engineering,UG,4,JEE Main,JEE Rank / Marks,7007,6853,16709,13020,33525,60,55,50,50,"Physics, Chemistry, Mathematics (PCM)",No,637000,2548000,Yes,TN Govt BC/MBC/SC/ST fee concession; Merit scholarship; NSP scholarship; Minority scholarship,18.6,66 LPA,"Tata Motors, Mahindra, TVS, Ashok Leyland",87,50,27,15,7.5,3,10,Online via TNEA Portal (tneaonline.org),2026-03-01,2026-05-31,2026-06-20,2026-07-15,10th Marksheet; 12th Marksheet; Transfer Certificate; Conduct Certificate; Community Certificate; Aadhar Card; Passport Size Photos; Income Certificate; First Graduate Certificate (if applicable); Nativity/Domicile Certificate,1. Register at tneaonline.org; 2. Fill TNEA application; 3. Upload required documents; 4. Pay application fee; 5. Verify application; 6. Attend web counselling; 7. Choose college and branch; 8. Pay tuition fee; 9. Report to allotted college,Passed 12th Std with PCM. Min 60% marks. Valid JEE Main score required. Age limit: Max 25 years.,No,No,Yes,Yes,"JEE Main Session 2 result will be released on April 20, 2026. | NITT QS Subject Ranking 2026 has been released and the college ranked 751-850 in computer science stream",1
9,NIT Trichy,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,Government,8,Engineering,NAAC A++,https://www.nitt.edu,admissions@nittrichy.ac.in,044-30174047,1964,415,1642,Yes,Yes,Yes,No,Yes,Yes,Yes,Engineering,B.Tech,Electrical and Electronics Engineering,UG,4,JEE Main,JEE Rank / Marks,4777,3673,17663,18714,33664,60,55,50,50,"Physics, Chemistry, Mathematics (PCM)",No,637000,2548000,Yes,TN Govt BC/MBC/SC/ST fee concession; Merit scholarship; NSP scholarship; Minority scholarship,18.6,66 LPA,"TCS, Wipro, Infosys, Accenture, Tech Mahindra",112,50,27,15,7.5,3,10,Online via TNEA Portal (tneaonline.org),2026-03-01,2026-05-31,2026-06-20,2026-07-15,10th Marksheet; 12th Marksheet; Transfer Certificate; Conduct Certificate; Community Certificate; Aadhar Card; Passport Size Photos; Income Certificate; First Graduate Certificate (if applicable); Nativity/Domicile Certificate,1. Register at tneaonline.org; 2. Fill TNEA application; 3. Upload required documents; 4. Pay application fee; 5. Verify application; 6. Attend web counselling; 7. Choose college and branch; 8. Pay tuition fee; 9. Report to allotted college,Passed 12th Std with PCM. Min 60% marks. Valid JEE Main score required. Age limit: Max 25 years.,No,No,Yes,Yes,"JEE Main Session 2 result will be released on April 20, 2026. | NITT QS Subject Ranking 2026 has been released and the college ranked 751-850 in computer science stream",1
10,NIT Trichy,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,Government,8,Engineering,NAAC A++,https://www.nitt.edu,admissions@nittrichy.ac.in,044-23767305,1964,715,1107,Yes,Yes,Yes,No,Yes,Yes,Yes,Engineering,B.Tech,Mechanical Engineering,UG,4,JEE Main,JEE Rank / Marks,6766,8875,15895,20320,32621,60,55,50,50,"Physics, Chemistry, Mathematics (PCM)",No,637000,2548000,Yes,TN Govt BC/MBC/SC/ST fee concession; Merit scholarship; NSP scholarship; Minority scholarship,18.6,66 LPA,"Tata Motors, Mahindra, TVS, Ashok Leyland",38,50,27,15,7.5,3,10,Online via TNEA Portal (tneaonline.org),2026-03-01,2026-05-31,2026-06-20,2026-07-15,10th Marksheet; 12th Marksheet; Transfer Certificate; Conduct Certificate; Community Certificate; Aadhar Card; Passport Size Photos; Income Certificate; First Graduate Certificate (if applicable); Nativity/Domicile Certificate,1. Register at tneaonline.org; 2. Fill TNEA application; 3. Upload required documents; 4. Pay application fee; 5. Verify application; 6. Attend web counselling; 7. Choose college and branch; 8. Pay tuition fee; 9. Report to allotted college,Passed 12th Std with PCM. Min 60% marks. Valid JEE Main score required. Age limit: Max 25 years.,No,No,Yes,Yes,"JEE Main Session 2 result will be released on April 20, 2026. | NITT QS Subject Ranking 2026 has been released and the college ranked 751-850 in computer science stream",1
